NAME|LATITUDE|LONGITUDE
MA203|42.4382308104|-72.6872268715
MA201|42.4724074012|-72.0762316358
MA202|42.4031982897|-71.9200316230
NH203|43.1337129243|-71.5586121019
NH201|43.5250386044|-72.2667472751
ME301|46.4136440848|-69.9342601192
ME302|46.0365143474|-69.5500694954
WI500|42.8353310000|-89.4158355000
MN600|43.9550530000|-96.1669505000
ND502|48.5591429034|-99.7624290001
ND504|47.8588770000|-100.6709415000
ND503|47.8945595004|-100.0921015820
ND501|48.5101950000|-100.1706390000
ND500|48.4785425000|-100.5624340000
ND505|47.6312265000|-100.3116525000
SD500|44.8858535000|-96.8038910000
SD501|45.1601610000|-97.1157925000
MN601|43.7945050000|-96.0959045000
IA500|43.1464415000|-93.6568005000
IA502|42.3193297807|-93.3176429204
IA503|41.9158365000|-93.5421965000
IA506|43.1696175000|-96.3144815000
MN602|44.0926805000|-92.8029695000
WI503|43.6245020000|-88.3918055000
WI502|44.2084925843|-91.2333034192
WI501|43.3031788692|-89.4370898118
IA505|42.6266845000|-95.4518990000
IA504|42.7778115000|-95.2046605000
IA501|42.6020530000|-93.5863425000
UT130|40.8637769594|-110.4496909370
CO122|40.7782688718|-107.2724639840
UT134|40.7116363186|-110.4590591440
CO135|39.0982817744|-106.7994473140
CO141|37.5732493952|-107.8188151820
CO143|37.5257405499|-107.2746626960
AK502|59.3805449756|-151.4173789720
AK503|60.3269682429|-152.6232604210
AK504|60.3247508438|-148.9420794430
AK506|60.7125452902|-152.9615931110
AK507|61.2413710627|-151.7888015800
AK508|61.9409942797|-148.3097675080
AK509|61.8262622884|-148.1209514060
AK518|61.8256140832|-147.2977009960
AK511|61.8242495818|-146.5730223740
AK514|61.6000169439|-145.1238323460
AK515|61.8932049730|-144.7454524030
AK516|61.3312313667|-144.2690328310
AK517|61.4483616669|-143.4699627010
AK519|63.0957301277|-152.8542506430
AK520|63.4322550246|-151.9356229840
AK521|63.3951792007|-150.8120386350
AK522|62.1423375309|-151.1883289280
AK523|62.3205598823|-150.7761767560
AK524|62.4923540153|-150.0762630640
AK525|62.7642030289|-149.7821332920
AK526|62.9007698665|-149.2140175360
AK528|63.2703238095|-149.2667096350
AK529|63.3111388471|-148.2344478410
AK530|63.0220678042|-147.8240344160
AK531|62.3409894237|-147.6809828780
AK532|62.1022510209|-147.2931996170
AK533|63.1334998085|-146.6503035570
AK534|62.7589789121|-146.2627210020
AK535|63.4282819793|-145.7611521130
AK537|62.6507638155|-145.4726418870
AK538|62.5052340911|-144.8227352570
AK541|64.1492246834|-153.2926254540
AK542|64.0485376938|-152.9038057040
AK544|63.6180422115|-150.2027421670
AK545|64.1177481670|-152.2259220760
AK546|64.2389343509|-151.6272338330
AK547|64.5325172062|-152.0102644990
AK548|64.7151849241|-150.5758946500
AK551|64.1555080356|-148.2413685650
AK552|64.2206824993|-148.8051268700
AK553|64.4939957140|-149.7206289980
AK554|64.7048813848|-148.7224194970
AK555|64.8692324448|-148.7061389190
AK557|64.4624329854|-147.4124058480
AK559|63.8895577436|-145.1115432690
AK560|63.6892074994|-144.3681780230
AK563|64.2010247730|-144.3316663320
AK564|64.4275107170|-146.3746853400
AK565|65.7398618449|-152.1105690110
AK566|65.3191836829|-151.7259721330
AK568|65.7872774431|-150.7605708120
AK569|65.4447878214|-150.5807202010
AK570|65.1831151058|-150.4909341560
AK571|66.1123459568|-153.4124969740
AK572|66.5398262817|-153.1479185050
AK573|66.2593523815|-152.7193333110
AK574|65.8853580811|-151.3984395830
AK575|66.1289131195|-150.6834921670
AK576|66.3808237643|-150.5171927270
AK579|65.4794393885|-149.1848464360
AK580|65.7526615583|-149.6275998920
AK581|65.4007266955|-147.9574123040
AK582|65.3004812182|-147.2827564730
AK583|65.8113277787|-147.2177966000
AK584|66.4470125586|-149.4425926770
AK587|65.5988112776|-145.9684981870
AK588|65.8659449155|-145.8877545130
AK590|65.2992435810|-145.0166422230
AK591|65.7777313033|-144.5520799090
AK593|65.6387473547|-143.5112001190
AK594|66.7486821502|-152.0462690170
AK595|66.7018896032|-150.6313527460
AK596|67.1146424431|-151.6338145130
AK597|67.1950959989|-150.2578109210
AK598|66.6702195508|-149.6541134930
AK599|66.7907516953|-149.0331035770
AK602|67.2977914089|-147.6048527360
AK604|66.6222500041|-147.5142807900
AK605|67.7921332517|-148.3691483850
AK606|67.7835878579|-147.3074562810
AK607|67.2400081165|-146.1146652430
AK608|67.8711393032|-145.9379392870
AK609|67.4700198761|-145.1218051950
AK611|67.7567803106|-144.2563545130
AK612|67.5954557826|-143.2968038480
AK615|68.4677339954|-152.4311478740
AK617|68.7481709191|-152.6022180320
AK619|68.8901143908|-150.8277566910
AK623|68.0803095735|-147.6584683980
AK628|68.1756963385|-144.4515248210
AK630|68.8073286180|-146.2913262220
AK633|69.4152925658|-146.3447294620
AK634|69.1700032936|-145.5548913450
AK635|69.1541802044|-144.5968857870
AK636|69.5644160320|-144.3919958420
AK645|69.6700224823|-145.2949254830
AK647|69.4673390262|-143.7076320190
AK501|59.8566541569|-151.2339066380
AK505|59.7693147304|-151.2072091540
AK624|68.6603670719|-149.2153735730
AK622|68.5912207589|-149.2832365700
AK631|68.0251569316|-149.5425158460
AK577|65.8585277112|-148.9285125200
AK585|65.6583324080|-146.1628831340
AK309|62.8267544927|-156.4615012950
AK440|62.2447191372|-143.2059860730
AK441|62.3880082866|-142.8983598650
AK442|62.4529085209|-142.0913036020
AK443|62.1787704082|-142.3214845970
AK444|62.0509465790|-142.0041132640
AK423|62.8241064371|-142.9371235750
AK419|63.3583692993|-144.0099370990
AK420|63.2868172375|-143.3593440640
AK418|63.5784203265|-144.6415403550
AK422|62.8816507508|-143.1845625860
AK243|65.1526771103|-143.6509634570
AK427|64.0531801659|-142.6888624640
AK429|64.4854577313|-141.6051255170
AK430|64.1000440261|-141.4239790790
AK428|64.2053034430|-141.9167721660
AK231|68.8781061740|-144.2136131630
AK230|68.5507145623|-144.4859667260
AK229|68.3526223421|-146.4755181200
AK228|68.2935493572|-146.9053689660
AK227|68.0259987203|-148.4377246520
AK226|68.0729003294|-149.2382234410
AK201|68.5547729160|-151.6146988900
AK202|68.2675878182|-151.2559500950
AK205|68.2302425240|-150.0983373180
AK203|68.4452069345|-150.5214273030
AK206|68.6752920080|-149.2965873820
AK207|68.8570283012|-148.5384352210
AK210|68.2440007382|-149.0287881680
AK204|68.2370761380|-150.6811944840
AK209|68.3972974658|-148.5952252930
AK208|68.6302603595|-147.9815492520
AK212|67.7588955577|-153.1593803290
AK217|67.8590711107|-151.9799427680
AK218|67.8861333413|-151.6080206990
AK222|67.8365252495|-150.4933830920
AK223|67.7639956552|-150.3170075800
AK216|68.0286182362|-152.5900495980
